CHS76X4,7.11,0.0761,0.004,0.00091,5.91E-07,0.00001550,0.00002080,0.02550000,0.00000118,0.00000000
CHS76X4.5,7.95,0.0761,0.0045,0.00101,6.51E-07,0.00001710,0.00002310,0.02540000,0.00000130,0.00000000
CHS76X5,8.77,0.0761,0.005,0.00112,7.09E-07,0.00001860,0.00002530,0.02520000,0.00000142,0.00000000
CHS76X5.6,9.74,0.0761,0.0056,0.00124,7.75E-07,0.00002040,0.00002790,0.02500000,0.00000155,0.00000000
CHS76X6.3,10.80,0.0761,0.0063,0.00138,8.48E-07,0.00002230,0.00003080,0.02480000,0.00000170,0.00000000
CHS76X8,13.40,0.0761,0.008,0.00171,0.00000101,0.00002640,0.00003730,0.02420000,0.00000201,0.00000000
CHS89X2.9,6.15,0.0889,0.0029,0.00078,7.25E-07,0.00001630,0.00002150,0.03040000,0.00000145,0.00000000
CHS89X3.2,6.76,0.0889,0.0032,0.00086,7.92E-07,0.00001780,0.00002350,0.03030000,0.00000158,0.00000000
CHS89X3.6,7.57,0.0889,0.0036,0.00097,8.79E-07,0.00001980,0.00002620,0.03020000,0.00000176,0.00000000
CHS89X4,8.38,0.0889,0.004,0.00107,9.63E-07,0.00002170,0.00002890,0.03000000,0.00000193,0.00000000
CHS89X4.5,9.37,0.0889,0.0045,0.00119,0.00000107,0.00002400,0.00003210,0.02990000,0.00000213,0.00000000
CHS89X5,10.30,0.0889,0.005,0.00132,0.00000116,0.00002620,0.00003520,0.02970000,0.00000233,0.00000000
CHS89X5.6,11.50,0.0889,0.0056,0.00147,0.00000128,0.00002870,0.00003890,0.02950000,0.00000255,0.00000000
CHS89X6.3,12.80,0.0889,0.0063,0.00163,0.0000014,0.00003150,0.00004310,0.02930000,0.00000280,0.00000000
CHS89X8,16.00,0.0889,0.008,0.00203,0.00000168,0.00003780,0.00005250,0.02870000,0.00000336,0.00000000
CHS89X10,19.50,0.0889,0.01,0.00248,0.00000196,0.00004410,0.00006260,0.02810000,0.00000392,0.00000000
CHS102X3.2,7.77,0.1016,0.0032,0.00099,0.0000012,0.00002360,0.00003100,0.03480000,0.00000240,0.00000000
CHS102X3.6,8.70,0.1016,0.0036,0.00111,0.00000133,0.00002620,0.00003460,0.03470000,0.00000266,0.00000000
CHS102X4,9.63,0.1016,0.004,0.00123,0.00000146,0.00002880,0.00003810,0.03450000,0.00000293,0.00000000
CHS102X4.5,10.80,0.1016,0.0045,0.00137,0.00000162,0.00003190,0.00004250,0.03440000,0.00000324,0.00000000
CHS102X5,11.90,0.1016,0.005,0.00152,0.00000177,0.00003490,0.00004670,0.03420000,0.00000355,0.00000000
CHS102X5.6,13.30,0.1016,0.0056,0.00169,0.00000195,0.00003840,0.00005170,0.03400000,0.00000390,0.00000000
CHS102X6.3,14.80,0.1016,0.0063,0.00189,0.00000215,0.00004230,0.00005730,0.03380000,0.00000430,0.00000000
CHS102X8,18.50,0.1016,0.008,0.00235,0.0000026,0.00005110,0.00007030,0.03320000,0.00000519,0.00000000
CHS102X10,22.60,0.1016,0.01,0.00288,0.00000305,0.00006010,0.00008420,0.03260000,0.00000611,0.00000000
CHS114X3.2,8.77,0.1143,0.0032,0.00112,0.00000172,0.00003020,0.00003950,0.03930000,0.00000345,0.00000000
CHS114X3.6,9.83,0.1143,0.0036,0.00125,0.00000192,0.00003360,0.00004410,0.03920000,0.00000384,0.00000000
CHS114X4,10.90,0.1143,0.004,0.00139,0.00000211,0.00003690,0.00004870,0.03900000,0.00000422,0.00000000
CHS114X4.5,12.20,0.1143,0.0045,0.00155,0.00000234,0.00004100,0.00005430,0.03890000,0.00000469,0.00000000
CHS114X5,13.50,0.1143,0.005,0.00172,0.00000257,0.00004500,0.00005980,0.03870000,0.00000514,0.00000000
CHS114X5.6,15.00,0.1143,0.0056,0.00191,0.00000283,0.00004960,0.00006620,0.03850000,0.00000566,0.00000000
CHS114X6.3,16.80,0.1143,0.0063,0.00214,0.00000313,0.00005470,0.00007360,0.03820000,0.00000625,0.00000000
CHS114X8,21.00,0.1143,0.008,0.00267,0.00000379,0.00006640,0.00009060,0.03770000,0.00000759,0.00000000
CHS114X10,25.70,0.1143,0.01,0.00328,0.0000045,0.00007870,0.00010900,0.03700000,0.00000899,0.00000000
CHS140X3.2,10.80,0.1397,0.0032,0.00137,0.0000032,0.00004580,0.00005960,0.04830000,0.00000640,0.00000000
CHS140X3.6,12.10,0.1397,0.0036,0.00154,0.00000357,0.00005110,0.00006670,0.04810000,0.00000713,0.00000000
CHS140X4,13.40,0.1397,0.004,0.00171,0.00000393,0.00005620,0.00007370,0.04800000,0.00000786,0.00000000
CHS140X4.5,15.00,0.1397,0.0045,0.00191,0.00000437,0.00006260,0.00008230,0.04780000,0.00000874,0.00000000
CHS140X5,16.60,0.1397,0.005,0.00212,0.00000481,0.00006880,0.00009080,0.04770000,0.00000961,0.00000000
CHS140X5.6,18.50,0.1397,0.0056,0.00236,0.00000531,0.00007610,0.00010100,0.04750000,0.00001060,0.00000000
CHS140X6.3,20.70,0.1397,0.0063,0.00264,0.00000589,0.00008430,0.00011200,0.04720000,0.00001180,0.00000000
