SHS70X70X8.8,16.30,0.0700,0.0700,0.0088,0.00207000,0.00000126,0.00003590,0.00004660,0.02460000,0.00000126,0.00003590,0.00004660,0.02460000,0.00000212,0.00000000
SHS80X80X3,7.18,0.0800,0.0800,0.0030,0.00091400,0.00000090,0.00002250,0.00002630,0.03130000,0.00000090,0.00002250,0.00002630,0.03130000,0.00000140,0.00000000
SHS80X80X3.2,7.63,0.0800,0.0800,0.0032,0.00097200,0.00000095,0.00002370,0.00002790,0.03130000,0.00000095,0.00002370,0.00002790,0.03130000,0.00000148,0.00000000
SHS80X80X3.6,8.53,0.0800,0.0800,0.0036,0.00109000,0.00000105,0.00002620,0.00003100,0.03110000,0.00000105,0.00002620,0.00003100,0.03110000,0.00000164,0.00000000
SHS80X80X4,9.41,0.0800,0.0800,0.0040,0.00120000,0.00000114,0.00002860,0.00003400,0.03090000,0.00000114,0.00002860,0.00003400,0.03090000,0.00000180,0.00000000
SHS80X80X5,11.60,0.0800,0.0800,0.0050,0.00147000,0.00000137,0.00003420,0.00004110,0.03050000,0.00000137,0.00003420,0.00004110,0.03050000,0.00000217,0.00000000
SHS80X80X6.3,14.20,0.0800,0.0800,0.0063,0.00181000,0.00000162,0.00004050,0.00004970,0.02990000,0.00000162,0.00004050,0.00004970,0.02990000,0.00000262,0.00000000
SHS80X80X7.1,15.80,0.0800,0.0800,0.0071,0.00202000,0.00000176,0.00004390,0.00005450,0.02950000,0.00000176,0.00004390,0.00005450,0.02950000,0.00000286,0.00000000
SHS80X80X8,17.50,0.0800,0.0800,0.0080,0.00224000,0.00000189,0.00004730,0.00005950,0.02910000,0.00000189,0.00004730,0.00005950,0.02910000,0.00000312,0.00000000
SHS80X80X8.8,19.00,0.0800,0.0800,0.0088,0.00242000,0.00000200,0.00005000,0.00006370,0.02870000,0.00000200,0.00005000,0.00006370,0.02870000,0.00000332,0.00000000
SHS80X80X10,21.10,0.0800,0.0800,0.0100,0.00269000,0.00000214,0.00005350,0.00006930,0.02820000,0.00000214,0.00005350,0.00006930,0.02820000,0.00000360,0.00000000
SHS80X80X12.5,25.20,0.0800,0.0800,0.0125,0.00321000,0.00000234,0.00005860,0.00007890,0.02700000,0.00000234,0.00005860,0.00007890,0.02700000,0.00000404,0.00000000
SHS90X90X3.6,9.66,0.0900,0.0900,0.0036,0.00123000,0.00000152,0.00003380,0.00003970,0.03520000,0.00000152,0.00003380,0.00003970,0.03520000,0.00000237,0.00000000
SHS90X90X4,10.70,0.0900,0.0900,0.0040,0.00136000,0.00000166,0.00003700,0.00004360,0.03500000,0.00000166,0.00003700,0.00004360,0.03500000,0.00000260,0.00000000
SHS90X90X5,13.10,0.0900,0.0900,0.0050,0.00167000,0.00000200,0.00004440,0.00005300,0.03450000,0.00000200,0.00004440,0.00005300,0.03450000,0.00000316,0.00000000
SHS90X90X6.3,16.20,0.0900,0.0900,0.0063,0.00207000,0.00000238,0.00005300,0.00006430,0.03400000,0.00000238,0.00005300,0.00006430,0.03400000,0.00000382,0.00000000
SHS90X90X7.1,18.10,0.0900,0.0900,0.0071,0.00230000,0.00000260,0.00005770,0.00007080,0.03360000,0.00000260,0.00005770,0.00007080,0.03360000,0.00000419,0.00000000
SHS90X90X8,20.10,0.0900,0.0900,0.0080,0.00256000,0.00000281,0.00006260,0.00007760,0.03320000,0.00000281,0.00006260,0.00007760,0.03320000,0.00000459,0.00000000
SHS90X90X8.8,21.80,0.0900,0.0900,0.0088,0.00278000,0.00000299,0.00006650,0.00008340,0.03280000,0.00000299,0.00006650,0.00008340,0.03280000,0.00000492,0.00000000
SHS90X90X10,24.30,0.0900,0.0900,0.0100,0.00309000,0.00000322,0.00007160,0.00009130,0.03230000,0.00000322,0.00007160,0.00009130,0.03230000,0.00000536,0.00000000
SHS90X90X12.5,29.10,0.0900,0.0900,0.0125,0.00371000,0.00000359,0.00007980,0.00010500,0.03110000,0.00000359,0.00007980,0.00010500,0.03110000,0.00000612,0.00000000
SHS100X100X3.6,10.80,0.1000,0.1000,0.0036,0.00137000,0.00000212,0.00004230,0.00004950,0.03920000,0.00000212,0.00004230,0.00004950,0.03920000,0.00000328,0.00000000
SHS100X100X4,11.90,0.1000,0.1000,0.0040,0.00152000,0.00000232,0.00004640,0.00005440,0.03910000,0.00000232,0.00004640,0.00005440,0.03910000,0.00000361,0.00000000
SHS100X100X5,14.70,0.1000,0.1000,0.0050,0.00187000,0.00000279,0.00005590,0.00006640,0.03860000,0.00000279,0.00005590,0.00006640,0.03860000,0.00000439,0.00000000
SHS100X100X6.3,18.20,0.1000,0.1000,0.0063,0.00232000,0.00000336,0.00006710,0.00008090,0.03800000,0.00000336,0.00006710,0.00008090,0.03800000,0.00000534,0.00000000
